amount,amount_log,hour,day_of_week,user_account_age_days,card_age_days,txn_count_7d,txn_count_30d,avg_amount_30d,std_amount_30d,amount_to_avg_ratio,failed_auths_24h,is_new_device,is_international,distance_km,ip_risk_score,email_risk_score,merchant_risk_category,time_since_last_txn_hrs,device_os_encoded,browser_encoded,feature_noise_1,feature_noise_2,feature_noise_3,feature_noise_4
19.154,3.0034,22,1,3115,1130,17,81,312.1293,48.6571,0.0612,0,0,0,68.7537,0.1733,0.175,0,23.364,3,5,-1.5557,2.5817,39.0,0.6277
7.4873,2.1386,12,5,3165,493,15,45,68.361,73.414,0.1079,0,0,0,58.8752,0.361,0.2438,3,23.1125,0,3,1.4351,0.5449,42.0,0.9053
17.8603,2.9371,17,1,3495,1064,24,41,421.503,0.1885,0.0423,0,1,0,1.8328,0.1244,0.3845,0,32.8264,3,7,0.9136,-0.5338,63.0,0.7435
52.5653,3.9809,19,0,2120,42,1,84,27.0684,2.7153,1.8728,0,1,0,24.2811,0.3968,0.441,1,21.5274,4,0,-1.3905,-0.7678,96.0,0.1005
1.7111,0.9974,11,4,711,144,24,41,161.7811,120.2961,0.0105,0,0,1,10.6387,0.0943,0.2894,0,10.3141,4,7,-1.785,-0.3356,0.0,0.7
97.34,4.5884,17,3,905,1256,8,77,189.0479,7.2415,0.5122,0,0,1,62.577,0.2002,0.1497,2,20.973,2,4,-0.7289,0.1393,9.0,0.2386
14.2355,2.7236,20,4,2719,1719,13,9,44.4097,70.7836,0.3135,0,0,0,167.5229,0.0629,0.4264,0,11.7309,2,0,-1.1374,0.9874,6.0,0.2912
2.0624,1.1192,15,4,2358,1698,11,49,42.6034,25.5831,0.0473,0,1,0,14.652,0.3568,0.2453,0,0.4342,2,2,0.2674,-1.3151,10.0,0.6427
192.5647,5.2656,20,4,3152,1143,12,44,9.9317,2.2627,17.6152,0,0,0,43.1218,0.1887,0.7274,1,16.1573,3,7,0.3625,0.8633,41.0,0.2935
36.5922,3.6268,15,6,2147,1942,14,60,16.7194,65.2463,2.0651,0,0,1,12.4998,0.1991,0.2796,2,3.604,2,7,-1.4438,-0.5619,86.0,0.475
25.4606,3.2757,17,2,3155,1583,10,8,20.57,17.077,1.1804,0,0,1,95.5358,0.1616,0.1273,2,17.8895,4,6,-0.2439,-0.3361,12.0,0.895
101.2994,4.6279,15,3,425,603,10,7,18.7194,1.9889,5.137,0,0,1,35.2161,0.4834,0.2106,1,16.2682,3,0,0.0935,1.8461,54.0,0.149
25.789,3.288,21,4,1146,376,3,19,920.6646,25.1848,0.028,0,0,0,6.3177,0.4467,0.2097,0,28.327,2,2,0.7647,-0.0325,25.0,0.8403
51.5287,3.9614,8,4,3254,1221,8,76,79.2059,11.7044,0.6425,0,1,0,29.6643,0.1469,0.295,1,19.298,1,2,-0.0741,1.3586,80.0,0.1056
261.3744,5.5698,22,0,2309,1359,6,54,45.0928,44.0475,5.6706,0,0,0,2.901,0.296,0.228,1,10.4445,3,0,1.5794,1.2146,81.0,0.2354
491.0519,6.1986,17,2,1451,493,18,21,10.2454,0.3221,43.6669,0,0,1,21.277,0.6415,0.0792,4,74.2174,0,3,-0.508,0.0877,75.0,0.5419
11.8334,2.5521,10,1,895,437,22,31,25.2616,219.0838,0.4506,0,0,0,109.267,0.3576,0.2673,0,21.1818,4,1,-0.0523,-1.0049,58.0,0.4093
210.6589,5.355,10,3,2088,1457,12,26,6.8027,62.9747,26.9982,0,0,1,28.3695,0.1931,0.2259,0,10.9322,4,5,-0.7973,1.712,42.0,0.0134
8.7206,2.2742,8,0,2242,199,9,47,285.6469,52.0193,0.0304,0,0,0,61.6167,0.2425,0.1482,1,20.1799,0,6,-0.566,-2.0193,1.0,0.9257
28.3695,3.38,21,2,621,1483,20,22,3.0098,0.3305,7.075,0,1,0,48.7706,0.4859,0.0472,1,23.8198,2,7,0.1287,0.1976,74.0,0.9818
67.8952,4.2326,4,1,1351,788,23,26,51.78,30.7021,1.2864,0,1,1,21.6745,0.0661,0.0346,0,36.6794,0,0,2.0164,0.5978,29.0,0.7343
50.0794,3.9334,19,0,782,495,23,61,117.3921,8.4962,0.423,0,0,1,93.206,0.1771,0.1008,0,40.4533,0,2,-0.1215,0.893,30.0,0.2573
165.8285,5.117,8,4,1827,637,21,4,154.5604,62.9928,1.066,0,0,0,13.436,0.5238,0.2758,0,28.9239,3,7,-1.4846,-0.9483,88.0,0.2396
135.0383,4.9129,0,1,3456,61,3,4,55.8577,97.6613,2.375,0,1,1,1038.7934,0.2276,0.597,3,315.6167,2,6,-0.7281,0.5855,7.0,0.566
5.823,1.9203,17,5,3646,708,3,31,6.7044,1.9129,0.7558,0,0,0,37.028,0.2815,0.1899,3,10.405,2,1,-1.1524,-0.3765,71.0,0.3543
29.148,3.4061,9,3,2124,720,22,82,43.9624,14.756,0.6483,0,0,0,52.5962,0.1792,0.0865,0,52.1997,4,5,1.291,-0.1367,74.0,0.3614
65.3857,4.1955,16,0,1635,1,1,20,58.7667,50.0354,1.094,1,1,0,1857.0833,0.692,0.5457,3,18.2291,2,3,-0.7567,1.2006,97.0,0.6446
33.5912,3.5436,9,6,844,258,11,74,16.225,44.8532,1.9501,0,0,0,18.7229,0.5567,0.3161,0,11.4597,4,0,1.6802,0.7912,39.0,0.2253
6.3636,1.9966,12,2,2887,1020,9,39,8.4384,7.2407,0.6742,0,0,1,20.804,0.1275,0.1345,0,6.6419,3,6,0.0618,0.873,87.0,0.0562
39.5028,3.7014,18,1,316,679,23,14,17.8253,38.8224,2.0984,0,0,0,27.6587,0.0522,0.6105,0,53.9152,4,2,-2.5959,0.5708,2.0,0.1209
4.7909,1.7563,16,5,2442,715,1,89,10.8664,40.253,0.4037,0,0,0,0.606,0.2305,0.266,0,86.3385,1,0,0.3535,0.0296,33.0,0.0975
6.3316,1.9922,19,1,1206,1735,5,19,46.7835,44.7688,0.1325,1,1,0,4.0375,0.1216,0.4993,1,22.0431,0,5,-0.9315,1.2345,48.0,0.5276
16.3058,2.851,18,6,3071,1429,13,84,23.5901,21.3646,0.6631,0,0,0,89.0543,0.0379,0.105,1,36.8116,4,4,0.0546,-0.9373,40.0,0.378
10.9508,2.4808,16,6,1539,682,6,59,248.0292,8.3242,0.044,0,0,0,116.9244,0.1272,0.2909,0,42.3154,2,0,-0.4359,0.8239,44.0,0.4239
164.349,5.1081,8,2,2085,994,2,15,104.7793,9.8508,1.5537,0,1,0,48.7299,0.1745,0.2084,0,29.1667,1,6,2.3986,1.7893,7.0,0.0601
21.7897,3.1263,21,2,1737,1707,19,22,58.175,59.8181,0.3682,0,0,0,6.3774,0.2312,0.2178,2,12.8923,2,5,-1.4399,0.8462,84.0,0.1344
11.9824,2.5636,9,4,3577,1,2,87,124.7609,17.4276,0.0953,1,0,0,9.7291,0.0819,0.1285,0,61.4137,3,0,0.956,1.0936,0.0,0.5201
54.4427,4.0153,16,3,1988,62,3,48,98.362,87.4336,0.5479,3,0,0,15.1136,0.1257,0.4405,3,1.9835,1,4,0.3517,1.5984,83.0,0.2619
52.9138,3.9874,15,6,577,486,4,11,32.1817,1.1381,1.5947,0,1,0,120.0382,0.1506,0.4115,2,15.4239,2,5,0.5786,0.173,79.0,0.2271
1.0,0.6931,16,5,426,1760,7,15,55.6574,8.619,0.0176,1,0,0,17.0698,0.073,0.586,0,49.7624,4,0,-0.4696,1.1419,56.0,0.321
193.3652,5.2697,12,2,7,6,6,2,117.8901,33.7361,1.6264,0,1,1,49.6486,0.7286,0.389,4,18.7724,0,5,-0.5045,-0.7064,22.0,0.2466
2.7404,1.3192,20,3,277,615,20,65,27.2976,67.1786,0.0968,0,0,1,1.015,0.3884,0.1243,0,28.2801,1,7,-1.0533,0.2817,37.0,0.2999
23.7638,3.2094,15,5,3565,1973,2,69,28.4644,5.003,0.8065,0,0,0,51.2137,0.2935,0.4389,0,6.4236,2,1,2.0196,0.4362,85.0,0.1148
63.9737,4.174,9,1,760,1215,18,44,16.9684,1.0365,3.5604,1,0,0,181.9692,0.2287,0.1,1,40.7447,2,6,0.835,0.198,76.0,0.8252
3.9485,1.5991,11,5,2881,1270,23,30,44.6308,49.0752,0.0865,0,1,1,33.05,0.3566,0.0598,0,91.2272,3,3,1.405,0.1718,61.0,0.0022
54.0769,4.0087,9,2,3367,339,10,46,144.6482,15.0927,0.3713,0,0,0,14.4563,0.297,0.2497,1,5.3024,3,6,0.9918,-1.1293,25.0,0.4511
58.6741,4.0889,21,3,2134,1825,2,39,37.1315,40.9143,1.5387,0,0,0,40.2934,0.3962,0.2819,0,9.351,3,3,-0.2461,-0.8627,47.0,0.7742
18.9352,2.9925,16,1,1012,538,12,77,167.2214,15.6968,0.1126,0,0,1,10.8905,0.2693,0.1707,0,2.3552,0,0,0.1996,-1.023,8.0,0.4224
19.0979,3.0006,8,0,43,1820,2,70,12.2091,39.1844,1.4458,1,0,0,51.1469,0.0929,0.3201,2,4.4027,4,2,0.9362,0.4663,11.0,0.6837
29.5127,3.4181,17,3,642,1803,24,15,47.6142,16.9193,0.6071,0,0,0,2.8254,0.1589,0.3005,2,6.4354,3,7,-0.6852,0.0725,89.0,0.8924
0.7968,0.586,21,3,4,74,119,212,156.4854,3.7199,0.0051,1,1,0,19.0162,0.4752,0.0864,3,1.4889,4,5,0.8188,1.0051,67.0,0.4806
2376.1521,7.7737,9,4,1216,69,1,70,59.4816,8.4759,39.2872,0,0,1,51.0656,0.1113,0.2398,0,77.5025,3,5,1.442,0.1777,38.0,0.7484
11.7092,2.5423,19,5,1049,1511,19,6,5.6282,11.8481,1.7666,0,0,0,48.3905,0.5288,0.4662,0,21.5475,3,2,-0.5767,1.3265,25.0,0.5429
3.2099,1.4374,19,6,3640,470,6,65,5.3755,82.164,0.5035,1,0,1,19.0652,0.1634,0.0186,0,30.5121,2,1,-2.1852,-0.1529,91.0,0.2268
21.1608,3.0983,22,6,1400,1991,13,19,41.5192,30.6594,0.4977,0,0,0,62.041,0.2278,0.2826,2,24.1144,0,3,-1.2125,0.5965,56.0,0.9429
4.0242,1.6143,10,2,2470,851,17,59,13.7681,76.4529,0.2725,0,0,0,21.3928,0.2302,0.1926,2,5.2811,4,7,1.226,0.9698,81.0,0.5265
7.7286,2.1666,17,4,2275,776,14,59,37.2324,5.095,0.2021,3,0,1,318.2259,0.3799,0.2023,2,78.0349,0,5,-0.9698,-0.9846,45.0,0.1453
21.6312,3.1193,8,5,3223,1159,24,10,121.3604,40.6477,0.1768,0,0,0,35.6369,0.5793,0.2633,1,17.7511,3,6,0.2999,0.3453,11.0,0.4504
22.9737,3.177,13,4,313,1152,21,88,44.1568,76.4241,0.5088,0,0,1,33.6611,0.4111,0.0564,1,5.618,0,6,-2.1466,-0.3144,43.0,0.3479
1145.8779,7.0448,21,5,1799,1884,6,18,42.0222,3.5471,26.6346,0,0,0,11.6651,0.3445,0.3978,0,12.8367,2,7,1.6979,-0.0337,72.0,0.7208
201.4972,5.3107,6,5,301,341,11,27,60.368,37.5841,3.2834,3,1,1,2689.1981,0.2782,0.6075,4,104.4284,3,6,0.8981,0.3929,64.0,0.9051
682.6922,6.5275,10,5,581,817,5,12,9.5168,7.8091,64.9147,0,0,0,38.5879,0.1276,0.0855,0,55.6698,4,5,-1.0402,0.4789,25.0,0.266
7.032,2.0834,16,1,1130,162,60,150,24.0396,4.8327,0.2808,0,1,0,95.7274,0.4407,0.0238,3,0.1982,2,3,0.0716,-0.7161,57.0,0.8393
21.344,3.1066,9,6,2642,446,23,47,19.2115,10.5934,1.056,3,1,1,79.1941,0.2593,0.4364,1,13.8173,3,7,-0.271,2.5384,14.0,0.0799
612.9038,6.4198,13,3,2863,1606,14,77,77.3121,1.5868,7.8264,0,0,0,56.5673,0.4411,0.0575,0,24.7785,3,5,1.3926,0.074,58.0,0.0058
133.3349,4.9003,15,6,1688,1864,24,17,126.2231,46.8947,1.048,0,0,0,3.9944,0.1297,0.4131,2,2.1614,3,4,0.4673,-0.6195,31.0,0.8585
33.9152,3.5529,13,1,1221,515,17,39,16.2997,18.1361,1.9604,0,0,0,29.2525,0.3085,0.2915,0,41.2549,4,4,3.2047,0.8505,40.0,0.6251
5.7031,1.9026,12,1,3038,1343,7,7,25.7891,21.6179,0.2129,0,0,0,94.5148,0.2613,0.0785,0,33.6139,0,0,0.9557,0.4199,48.0,0.748
21.5686,3.1166,8,3,1772,1734,22,22,53.581,6.8486,0.3952,0,1,0,64.4615,0.4209,0.1957,0,45.5634,0,3,0.2471,-0.176,75.0,0.5653
24.2556,3.229,15,1,2944,1194,23,13,2.6286,18.7644,6.6845,0,0,1,10.3676,0.1004,0.2749,0,2.3498,1,1,-0.7229,-1.4478,25.0,0.7671
251.2808,5.5305,19,3,2152,1704,10,18,66.0722,10.6631,3.7464,0,0,0,14.4794,0.2432,0.3775,2,41.4489,1,5,0.153,-0.8505,11.0,0.9486
62.9901,4.1587,18,2,1956,1127,8,57,122.7141,14.7825,0.5092,0,1,0,23.0877,0.3116,0.6282,2,1.4017,3,0,-1.095,-1.0976,46.0,0.5589
29.2257,3.4087,13,2,1426,53,18,48,18.4213,72.1716,1.5048,0,0,0,12.0031,0.1941,0.0173,0,36.594,0,0,-0.8206,1.11,29.0,0.2718
937.0056,6.8438,11,3,2974,1933,23,38,45.3005,158.9382,20.2375,1,0,0,5.6297,0.1347,0.1093,0,2.3115,2,3,-0.9252,1.1164,61.0,0.7596
34.1286,3.559,21,5,402,770,17,84,15.52,50.9675,2.0659,0,0,0,6.0872,0.4186,0.4547,2,4.6669,3,5,0.1356,0.1437,71.0,0.9953
13.3932,2.6668,16,4,2330,1963,10,16,36.3574,90.1193,0.3585,1,0,0,44.6583,0.0187,0.15,1,21.0308,2,7,0.6807,-1.8605,89.0,0.6502
169.8341,5.1407,8,2,1933,95,2,16,19.7043,5.3502,8.2028,1,0,1,1513.9621,0.4827,0.661,2,55.944,1,6,-0.4861,-0.5643,65.0,0.8176
211.5657,5.3593,17,3,99,298,5,45,17.1436,41.1769,11.6606,0,0,0,26.8246,0.2089,0.2839,4,11.7575,1,4,-0.1372,-1.2523,15.0,0.761
747.1379,6.6176,10,6,121,1254,12,82,53.341,17.7333,13.7491,0,0,0,14.2377,0.1596,0.188,1,1.0018,4,3,1.2895,-0.8906,78.0,0.1841
10.3223,2.4268,20,3,1727,161,24,83,43.2511,64.9863,0.2333,1,0,1,28.4549,0.0459,0.2424,1,50.1825,3,4,0.8424,0.7652,46.0,0.9329
68.8141,4.2458,11,2,2816,8,23,35,10.4842,9.6815,5.9921,0,0,0,6.9127,0.0632,0.4508,0,3.8049,4,5,-2.5335,0.5205,36.0,0.0735
59.9241,4.1096,10,3,3584,1211,15,5,54.9105,25.3071,1.0718,0,0,0,28.4105,0.434,0.2243,2,3.0687,2,0,-0.0538,0.5537,42.0,0.3858
6.9008,2.067,8,5,1420,872,17,40,15.42,18.4851,0.4203,0,1,0,177.5161,0.0184,0.0799,1,10.181,4,4,-0.212,-0.5179,30.0,0.6883
41.8248,3.7571,10,1,906,1083,7,27,13.7941,51.5592,2.8271,0,0,0,7.6108,0.1624,0.1871,0,20.4539,0,3,2.5515,-0.1523,18.0,0.8771
1.0,0.6931,12,3,3024,55,8,46,16.0147,13.3247,0.0588,0,0,0,48.5804,0.4637,0.5182,1,43.0648,0,1,0.622,0.974,16.0,0.7508
253.2162,5.5382,10,0,2236,1193,22,48,23.9078,13.5155,10.1661,0,0,1,0.8652,0.5926,0.3024,0,23.6716,0,6,0.2208,0.7058,99.0,0.858
17.8015,2.9339,13,5,2243,28,4,29,17.4659,8.8191,0.964,0,0,0,203.5061,0.2578,0.1342,0,9.1228,4,6,-1.1187,-0.3015,85.0,0.8044
2.1934,1.1611,14,5,983,1474,10,82,36.0929,13.2681,0.0591,2,1,0,47.9096,0.4263,0.2227,1,61.9314,2,4,0.1913,1.1085,8.0,0.3298
18.0299,2.946,15,0,2295,682,24,40,130.4286,24.6293,0.1372,0,1,0,6.5101,0.063,0.5251,0,32.7892,1,2,2.403,-2.2534,25.0,0.7442
17.9726,2.943,15,6,1730,1166,18,65,32.5577,1.2666,0.5356,0,0,0,12.4848,0.1613,0.2553,4,40.0268,2,0,0.5879,-1.8356,48.0,0.8555
203.8927,5.3225,14,2,3188,133,21,19,81.9367,1.251,2.4584,1,1,0,24.18,0.1957,0.5471,0,7.9583,0,7,1.113,-0.3068,42.0,0.1062
28.0818,3.3701,20,5,866,282,21,43,4.4676,3.377,5.1361,0,1,0,104.0645,0.2424,0.2511,0,8.5217,1,4,0.5812,0.1613,4.0,0.386
1.9022,1.0655,16,1,570,809,14,42,209.5057,53.4779,0.009,0,1,0,7.4835,0.555,0.0234,1,3.1525,1,2,0.4623,-0.3386,58.0,0.5533
52.0513,3.9713,8,5,235,291,7,22,10.1922,53.6165,4.6507,0,1,0,1.9588,0.0621,0.3542,0,64.1224,2,1,-0.7637,0.8512,75.0,0.4914
220.1455,5.3988,19,0,2079,17,9,26,98.2453,58.9546,2.2182,1,1,1,2880.1619,0.5944,0.7454,2,28.0417,2,6,-1.0457,1.4839,58.0,0.4498
1.8776,1.057,9,6,3026,1182,15,81,50.195,17.5518,0.0367,0,0,0,89.3192,0.072,0.2601,0,2.2872,3,5,-1.8814,0.6367,87.0,0.1824
9.1168,2.3142,18,3,610,1627,2,84,23.5347,69.7876,0.3716,0,0,0,8.428,0.0632,0.5306,2,6.5396,1,0,-1.5942,0.6848,62.0,0.4606
2.0441,1.1132,9,6,1644,1834,3,59,2.8203,27.124,0.5351,0,0,1,43.9881,0.0289,0.2337,0,29.2633,3,1,-1.2965,0.4929,36.0,0.582
4.3856,1.6837,18,1,613,1268,17,61,4.3445,111.2877,0.8206,0,0,0,17.2644,0.2348,0.4638,0,9.7627,3,3,0.2297,-1.9776,74.0,0.133
8.589,2.2606,10,4,3533,350,18,73,112.6103,40.2502,0.0756,0,0,0,4.3283,0.2374,0.2133,3,46.8133,2,0,-1.0704,1.0053,39.0,0.1458
28.0908,3.3704,9,2,1807,1538,8,67,1384.6917,82.0698,0.0203,2,0,1,24.9562,0.228,0.3393,0,67.9403,3,1,0.4319,0.1895,52.0,0.2265
4.4587,1.6972,13,3,1858,1537,6,79,4.5146,13.0384,0.8085,2,0,0,3.6729,0.3032,0.6616,2,62.0375,4,4,-0.3353,-0.9302,59.0,0.8717
1.5373,0.9311,21,1,2924,1272,1,77,15.6465,16.2498,0.0923,0,0,0,31.1798,0.2686,0.0733,1,57.3928,4,3,-0.4914,-0.5023,19.0,0.3677
62.8918,4.1572,15,2,231,1882,6,67,12.0396,49.1696,4.8231,2,0,0,1.313,0.3443,0.214,0,23.0984,4,3,-0.1673,0.4903,10.0,0.7641
706.103,6.5612,14,1,66,291,4,4,55.8784,56.6271,12.4143,1,0,1,3794.4296,0.3318,0.1746,3,25.0978,1,1,0.7964,0.1652,95.0,0.5569
18.6665,2.9789,12,2,1934,348,18,82,40.223,39.5026,0.4528,0,0,1,23.5605,0.6309,0.4202,0,14.6184,2,2,-0.5893,0.4355,98.0,0.1528
196.864,5.2876,13,6,1089,1081,4,3,158.6318,4.1701,1.2332,0,0,0,53.409,0.5183,0.2571,0,12.7057,0,7,1.9183,-0.2012,21.0,0.6114
43.2204,3.7892,21,4,1782,469,21,5,32.4343,37.3152,1.2927,0,0,0,49.3276,0.3593,0.297,0,10.0449,0,0,0.4575,0.2988,82.0,0.2532
32.6017,3.5146,14,2,2396,732,12,88,15.517,8.3261,1.9738,3,0,0,16.3614,0.0983,0.2654,2,9.9558,0,6,0.1082,0.1526,58.0,0.8668
17.6432,2.9255,9,6,234,1406,14,9,34.6895,19.6937,0.4944,1,0,1,96.5339,0.6148,0.3339,3,25.2463,2,4,-0.8347,-0.6917,89.0,0.3842
185.7786,5.2299,20,2,101,1054,5,27,15.5854,42.8012,11.2013,0,1,0,166.0098,0.1189,0.187,1,65.7539,2,0,0.1337,0.5031,50.0,0.579
121.1196,4.805,14,4,3051,1718,2,81,64.5931,49.9197,1.8465,0,0,0,11.7716,0.4897,0.4714,1,14.8436,3,4,0.0642,-0.0704,2.0,0.6397
45.4019,3.8373,10,3,2053,45,12,44,26.9874,32.8535,1.6222,0,0,0,5.4892,0.5644,0.2359,1,45.4931,4,5,-1.1552,-1.1544,32.0,0.3604
426.9089,6.0589,20,3,955,990,24,89,23.933,29.7103,17.1222,0,0,0,46.2234,0.6003,0.0517,0,126.3895,2,3,1.9852,-0.3411,82.0,0.9345
60.6077,4.1208,22,6,3320,871,23,42,136.6833,48.7363,0.4402,0,0,0,1.7556,0.4806,0.1564,1,8.4912,0,0,0.8244,0.1777,74.0,0.1
